net,length_um
_05527_,79.86
_04584_,79.59
_02708_,79.51
sha256cu.m_pad_pars.add_out3\[3\],79.5
_01625_,79.46
_04481_,79.44
sha256cu.m_out_digest.e_in\[0\],79.42
_05162_,79.38
_02492_,79.36
_04122_,79.34
_02159_,79.26
sha256cu.flag_0_15,79.14
sha256cu.byte_stop,79.07
_04594_,79.01
sha256cu.data_in_padd\[16\],78.92
_02960_,78.84
_06126_,78.78
_04610_,78.77
sha256cu.msg_scheduler.counter_iteration\[5\],78.635
_04091_,78.62
clknet_leaf_108_clk,78.52
_02338_,78.44
_05147_,78.34
_03082_,78.3
_06261_,78.24
net61,78.12
_03157_,78.1
sha256cu.K\[27\],78.04
_05750_,77.98
sha256cu.msg_scheduler.mreg_13\[13\],77.98
_03079_,77.82
_01577_,77.72
_04118_,77.62
_04726_,77.47
_01540_,77.42
_00040_,77.33
_02731_,77.26
_01571_,77.18
_04421_,77.12
_01658_,77.06
_04380_,77.02
_04367_,76.96
_03089_,76.93
_04410_,76.87
net236,76.82
_04994_,76.78
_04153_,76.54
clknet_leaf_38_clk,76.49
net66,76.29
_05342_,76.28
sha256cu.m_out_digest.e_in\[2\],76.28
_04090_,76.26
_04407_,76.24
_04234_,76.08
_04779_,75.915
net148,75.86
clknet_leaf_57_clk,75.84
clknet_leaf_113_clk,75.82
_04778_,75.8
sha256cu.msg_scheduler.mreg_1\[29\],75.69
_04561_,75.64
_02420_,75.4
_04383_,75.32
_04424_,75.31
_04092_,75.3
_01642_,75.29
clknet_leaf_118_clk,75.22
_06553_,75.16
_05125_,75.04
clknet_leaf_60_clk,74.92
clknet_leaf_73_clk,74.88
_05737_,74.7
_04464_,74.67
sha256cu.counter_iteration\[0\],74.64
_04130_,74.58
_04520_,74.56
_02446_,74.5
_05127_,74.47
_02488_,74.44
_04601_,74.43
_04735_,74.4
sha256cu.m_out_digest.e_in\[10\],74.36
_02525_,74.32
_02550_,73.96
_04474_,73.86
sha256cu.msg_scheduler.counter_iteration\[4\],73.84
_05208_,73.8
_05139_,73.74
sha256cu.m_out_digest.h_in\[23\],73.6
_04099_,73.46
sha256cu.m_out_digest.h_in\[28\],73.33
net167,72.92
_04125_,72.88
_06480_,72.76
_04401_,72.74
_01733_,72.62
net43,72.6
clknet_leaf_115_clk,72.47
_04120_,72.44
_04675_,72.44
_04819_,72.43
_02568_,72.4
_01605_,72.38
clknet_leaf_52_clk,72.38
_05124_,72.36
_05126_,72.285
_04112_,72.24
_06064_,72.1
net58,72.08
clknet_leaf_102_clk,72.06
_04834_,71.92
_01985_,71.82
clknet_leaf_78_clk,71.74
_02859_,71.56
_04268_,71.46
net115,71.44
_05504_,71.42
_02599_,71.41
_00048_,71.4
_02561_,71.32
_04540_,71.255
_04627_,70.86
_02711_,70.82
_02712_,70.78
_05159_,70.74
_05078_,70.68
clknet_leaf_116_clk,70.62
_04672_,70.535
_05512_,70.48
_01944_,70.32
_02661_,70.12
_02005_,70.08
clknet_leaf_16_clk,70.08
_00038_,70.04
_04119_,70.02
sha256cu.data_in_padd\[10\],70.02
clknet_leaf_48_clk,70
_04054_,69.96
sha256cu.m_pad_pars.add_out2\[2\],69.94
clknet_leaf_61_clk,69.92
_05333_,69.76
_01604_,69.66
_02413_,69.55
sha256cu.m_pad_pars.block_512\[58\]\[0\],69.34
_04115_,69.32
_05781_,69.2
_04415_,69.14
_04264_,69.06
_04247_,69.01
clknet_leaf_43_clk,68.98
_04959_,68.97
_05913_,68.94
_03116_,68.92
sha256cu.data_in_padd\[17\],68.86
_04124_,68.8
sha256cu.m_out_digest.h_in\[20\],68.76
_02054_,68.7
sha256cu.m_pad_pars.add_out0\[2\],68.56
sha256cu.m_out_digest.e_in\[9\],68.54
_05337_,68.26
_04554_,68.16
_06040_,68.08
_01936_,67.96
_02884_,67.9
_04260_,67.71
net78,67.68
sha256cu.data_in_padd\[12\],67.62
clknet_leaf_53_clk,67.6
_01673_,67.54
_04282_,67.24
_05975_,67.1
clknet_leaf_88_clk,67.1
_04775_,66.89
clknet_leaf_86_clk,66.88
_00055_,66.74
_00047_,66.68
_04653_,66.66
_04958_,66.485
_03042_,66.48
_04103_,66.475
_02264_,66.29
clknet_leaf_17_clk,66.22
sha256cu.msg_scheduler.mreg_7\[8\],66.2
clknet_leaf_81_clk,66.1
sha256cu.msg_scheduler.mreg_12\[26\],65.88
_04348_,65.86
sha256cu.m_out_digest.h_in\[9\],65.74
_04860_,65.68
_01694_,65.62
_04896_,65.56
_04461_,65.55
sha256cu.msg_scheduler.mreg_13\[17\],65.48
_04361_,65.4
_05369_,65.4
sha256cu.m_out_digest.h_in\[8\],65.38
_06017_,65.36
_04397_,65.235
sha256cu.m_pad_pars.add_out2\[3\],65.22
_04756_,65.2
_04760_,64.94
_03839_,64.9
sha256cu.msg_scheduler.mreg_1\[31\],64.89
clknet_leaf_46_clk,64.66
_05357_,64.62
_03044_,64.6
_02521_,64.54
_02064_,64.52
_02455_,64.44
clknet_leaf_31_clk,64.42
_03118_,64.41
_03158_,64.36
_05089_,64.36
_06107_,64.3
clknet_leaf_54_clk,64.3
_04721_,64.23
sha256cu.m_out_digest.h_in\[22\],64.18
_04487_,64.03
_02903_,64.02
_05838_,64.02
_05188_,63.88
_05484_,63.88
_02495_,63.78
sha256cu.msg_scheduler.mreg_9\[6\],63.76
_02844_,63.72
_04886_,63.68
_04975_,63.58
_04991_,63.54
_05996_,63.52
sha256cu.m_out_digest.h_in\[27\],63.5
_05011_,63.37
_01767_,63.36
_05134_,63.27
sha256cu.m_pad_pars.add_out1\[2\],63.24
_03052_,63.23
_05746_,63.1
_02639_,63.06
_03071_,63.04
sha256cu.m_pad_pars.add_out0\[4\],62.88
sha256cu.msg_scheduler.mreg_9\[7\],62.86
_04254_,62.55
_03033_,62.54
_02417_,62.46
_04295_,62.44
_02939_,62.38
_01751_,62.3
_05548_,62.24
clknet_leaf_80_clk,62.24
_01726_,62.22
_04808_,62.1
_01568_,62
_05230_,61.96
_05475_,61.96
clknet_leaf_49_clk,61.95
_04448_,61.86
_04640_,61.82
_04506_,61.76
_02595_,61.74
net51,61.62
_02630_,61.56
clknet_leaf_77_clk,61.5
_06066_,61.48
_02016_,61.34
_01701_,61.2
clknet_leaf_92_clk,61.16
_04805_,61.14
_00013_,61.105
_05382_,61.1
_04987_,61.04
_02850_,61
_04759_,60.82
_04093_,60.7
_01560_,60.66
clknet_leaf_101_clk,60.6
_05554_,60.34
_02803_,60.32
_05456_,60.26
sha256cu.msg_scheduler.mreg_7\[9\],60.18
sha256cu.m_out_digest.h_in\[15\],60.05
_04393_,60.04
_01953_,60.02
_04796_,59.98
_04357_,59.81
_01615_,59.74
_04494_,59.64
sha256cu.msg_scheduler.mreg_9\[1\],59.64
_04753_,59.62
sha256cu.data_in_padd\[9\],59.58
_02619_,59.48
sha256cu.m_out_digest.h_in\[21\],59.44
_03832_,59.3
_05178_,59.26
_05998_,59.26
_03163_,59.24
sha256cu.msg_scheduler.mreg_4\[20\],59.24
_04134_,59.2
_05184_,59.14
sha256cu.m_out_digest.h_in\[18\],59.14
_05130_,59.03
_04468_,59.02
sha256cu.data_in_padd\[0\],58.78
_05029_,58.7
clknet_leaf_97_clk,58.62
_05574_,58.6
_02322_,58.27
_01519_,58.26
clknet_leaf_74_clk,58.02
_05228_,57.98
_02760_,57.94
_06398_,57.94
_05056_,57.82
_02743_,57.78
_04997_,57.76
_03126_,57.66
_04951_,57.64
clknet_leaf_6_clk,57.62
sha256cu.msg_scheduler.mreg_13\[12\],57.6
_05347_,57.48
_05567_,57.44
_01960_,57.29
_02374_,57.24
sha256cu.msg_scheduler.mreg_9\[5\],57.16
_04455_,57.1
_01601_,57.02
_05190_,57
_04938_,56.98
_01499_,56.96
_05958_,56.94
_05106_,56.9
_02876_,56.88
_04177_,56.86
_05438_,56.86
_04354_,56.76
sha256cu.msg_scheduler.mreg_0\[12\],56.7
_03008_,56.66
_04838_,56.2
_01935_,56.19
_04502_,56.18
_04931_,56.14
_04387_,56.1
sha256cu.msg_scheduler.mreg_13\[18\],56.1
_03468_,55.96
_06042_,55.87
_04850_,55.86
_04322_,55.68
_06119_,55.56
_01763_,55.46
_02671_,55.34
_04763_,55.34
sha256cu.m_pad_pars.add_out3\[5\],55.34
_05899_,55.26
_05466_,55.15
_05630_,55.06
sha256cu.data_in_padd\[5\],54.94
_06019_,54.76
net65,54.695
_05605_,54.6
sha256cu.m_out_digest.e_in\[4\],54.56
_01820_,54.48
net188,54.46
_05607_,54.34
_05275_,54.12
net29,54.04
_04614_,53.96
_03863_,53.94
_05194_,53.92
_01750_,53.66
_04089_,53.58
_01632_,53.45
_05534_,53.44
_02794_,53.36
sha256cu.m_pad_pars.add_out0\[3\],53.24
_02572_,53.12
_02678_,53.12
_05264_,53
_05312_,52.92
_06014_,52.84
sha256cu.m_out_digest.h_in\[4\],52.84
_04843_,52.8
_02935_,52.74
_04725_,52.68
_05066_,52.64
_05749_,52.56
_05760_,52.52
_01792_,52.48
_03391_,52.42
_03834_,52.36
sha256cu.msg_scheduler.mreg_12\[31\],52.34
_01691_,52.26
_04504_,52.26
_04574_,52.24
_05861_,52.18
_05379_,52.06
_04505_,52.04
_04727_,51.96
_04961_,51.96
_04333_,51.7
_05628_,51.52
sha256cu.msg_scheduler.mreg_4\[18\],51.3
_02153_,51.16
_05149_,51.14
_05371_,51.1
_01627_,51.08
_02296_,51.01
_01787_,51
_05589_,50.96
_01796_,50.92
_02051_,50.84
_04868_,50.84
_02200_,50.8
_04441_,50.72
_02274_,50.6
_04378_,50.6
_03496_,50.58
sha256cu.data_in_padd\[28\],50.56
_05736_,50.5
_02126_,50.38
_04706_,50.38
_05219_,50.28
_05859_,50.28
sha256cu.m_out_digest.h_in\[13\],50.28
clknet_leaf_58_clk,50.2
_05840_,50.18
_02810_,50.1
clknet_leaf_75_clk,50.08
_03436_,50.06
_02120_,50.055
_05761_,50.04
_02582_,50
_02353_,49.92
_03171_,49.86
_02471_,49.75
_05043_,49.74
_02714_,49.64
_04548_,49.6
sha256cu.data_in_padd\[6\],49.58
_05137_,49.54
_03890_,49.52
sha256cu.m_out_digest.h_in\[7\],49.52
_02997_,49.44
_04820_,49.4
_01614_,49.34
_02020_,49.16
_00015_,49.115
_04147_,49.07
_05047_,49.06
sha256cu.msg_scheduler.mreg_4\[22\],49.06
sha256cu.data_in_padd\[25\],49.04
sha256cu.msg_scheduler.mreg_9\[2\],49.04
_04588_,49.02
sha256cu.msg_scheduler.mreg_5\[23\],49.02
_02902_,48.88
sha256cu.msg_scheduler.mreg_13\[19\],48.86
_02405_,48.795
sha256cu.m_out_digest.f_in\[30\],48.6
_02045_,48.54
_05189_,48.48
_01693_,48.42
sha256cu.msg_scheduler.mreg_5\[19\],48.4
_02499_,48.36
_05180_,48.36
_04924_,48.35
_04428_,48.34
sha256cu.msg_scheduler.mreg_5\[21\],48.34
sha256cu.m_out_digest.h_in\[25\],48.32
_04379_,48.26
sha256cu.data_in_padd\[18\],48.26
_02289_,48.24
sha256cu.msg_scheduler.mreg_4\[19\],48.19
_05472_,48.18
_05672_,48.18
_05535_,48.16
_03000_,48.13
_00005_,48.065
_04562_,48.06
_05980_,48.03
_02412_,47.96
sha256cu.m_out_digest.h_in\[3\],47.92
_04113_,47.9
_04739_,47.52
_05179_,47.52
_03070_,47.48
_02988_,47.475
_02367_,47.36
_05023_,47.26
_02475_,47.235
sha256cu.msg_scheduler.mreg_5\[25\],47.22
_03026_,47.18
sha256cu.msg_scheduler.mreg_5\[20\],47.06
_01623_,47.04
_04563_,47
_01811_,46.98
_04825_,46.93
sha256cu.m_pad_pars.add_out0\[5\],46.9
_04110_,46.84
_04308_,46.58
_04336_,46.54
_01830_,46.52
_06085_,46.3
_04766_,46.28
_03892_,46.26
sha256cu.m_out_digest.h_in\[19\],46.26
sha256cu.msg_scheduler.mreg_0\[30\],46.25
sha256cu.msg_scheduler.mreg_4\[17\],46.25
_02682_,46.24
_04935_,46.22
_02224_,46.12
_05220_,46.12
sha256cu.msg_scheduler.mreg_14\[2\],46.1
_05152_,46.08
_05686_,46.08
_06087_,46.06
sha256cu.K\[25\],46.06
sha256cu.msg_scheduler.mreg_2\[6\],46.06
_02928_,46.02
_00030_,45.96
_04104_,45.96
_04679_,45.88
_04985_,45.8
_03584_,45.7
_00017_,45.685
_02086_,45.6
_04736_,45.57
_01942_,45.56
_04145_,45.44
_01969_,45.43
_06104_,45.37
_05648_,45.34
_04334_,45.24
_03023_,45.14
_04693_,45.14
sha256cu.m_pad_pars.add_out1\[3\],45.06
_02416_,44.96
_03864_,44.94
_04823_,44.72
_04337_,44.58
_05977_,44.58
_02992_,44.56
_04974_,44.56
_02622_,44.46
sha256cu.msg_scheduler.mreg_6\[12\],44.46
_01636_,44.42
_02090_,44.38
_02450_,44.38
sha256cu.msg_scheduler.mreg_5\[24\],44.28
_01790_,44.24
_04875_,44.22
_03462_,44.2
_04764_,44.2
_06728_,44.16
_05541_,44.14
_03726_,44.1
net158,44
_05204_,43.98
sha256cu.msg_scheduler.mreg_8\[29\],43.98
_05613_,43.96
_05616_,43.92
_04755_,43.87
sha256cu.data_in_padd\[31\],43.82
sha256cu.data_in_padd\[23\],43.78
_04767_,43.66
_02955_,43.64
_05295_,43.62
sha256cu.msg_scheduler.mreg_8\[17\],43.6
sha256cu.m_out_digest.d_in\[8\],43.52
net139,43.42
sha256cu.msg_scheduler.mreg_6\[17\],43.38
_02081_,43.32
_02075_,43.29
_02553_,43.24
_03498_,43.18
_02379_,43.16
sha256cu.msg_scheduler.mreg_13\[15\],43.14
_00029_,43.125
_02589_,43.06
_06031_,43.04
_02183_,43.02
_05557_,43.02
_03011_,43
net205,42.98
_05716_,42.96
_02453_,42.88
_05892_,42.88
_03950_,42.8
_03612_,42.72
_03169_,42.7
_05972_,42.68
_01940_,42.56
_05100_,42.48
_02781_,42.42
_03004_,42.36
_05283_,42.325
_04872_,42.32
_04566_,42.3
sha256cu.msg_scheduler.mreg_10\[20\],42.3
_05966_,42.22
_02396_,42.16
_04809_,42.16
sha256cu.msg_scheduler.mreg_10\[15\],42.04
_03120_,42.02
_00024_,41.95
_05885_,41.92
_01700_,41.86
_02109_,41.78
sha256cu.msg_scheduler.mreg_6\[18\],41.76
_00012_,41.72
sha256cu.msg_scheduler.mreg_5\[16\],41.72
_04501_,41.66
_02520_,41.62
_05581_,41.54
_02024_,41.48
_02104_,41.46
_02400_,41.38
_02025_,41.34
_01813_,41.18
_05198_,41.16
sha256cu.msg_scheduler.mreg_4\[3\],41.16
_05804_,41.12
sha256cu.msg_scheduler.mreg_10\[17\],41.12
sha256cu.msg_scheduler.mreg_7\[7\],41.12
_02761_,41.1
_04884_,41.1
_04849_,41.08
_02790_,41.04
_03057_,40.98
_02371_,40.92
_01589_,40.91
sha256cu.m_out_digest.g_in\[21\],40.88
_04789_,40.86
_05148_,40.84
_03527_,40.82
_04990_,40.8
_02445_,40.78
_02007_,40.74
_04856_,40.685
_02980_,40.65
_04114_,40.64
_05146_,40.62
_04108_,40.6
_02487_,40.56
sha256cu.msg_scheduler.mreg_10\[16\],40.46
_05738_,40.44
_04744_,40.38
_03928_,40.16
_03495_,40.12
_06122_,40.12
_05390_,40.1
sha256cu.msg_scheduler.mreg_2\[17\],39.92
sha256cu.msg_scheduler.mreg_4\[21\],39.86
_04558_,39.82
_05012_,39.82
sha256cu.msg_scheduler.mreg_9\[3\],39.75
_05361_,39.74
_03418_,39.72
sha256cu.m_pad_pars.temp_chk,39.7
_01665_,39.64
_05250_,39.6
sha256cu.msg_scheduler.mreg_4\[5\],39.58
sha256cu.m_out_digest.e_in\[3\],39.54
_04128_,39.52
sha256cu.counter_iteration\[1\],39.52
_03240_,39.44
_01760_,39.4
_01581_,39.28
_02808_,39.28
_06052_,39.28
sha256cu.msg_scheduler.mreg_13\[2\],39.26
_02324_,39.24
_04565_,39.24
sha256cu.data_in_padd\[19\],39.22
_04376_,39.2
_02707_,39.18
sha256cu.msg_scheduler.mreg_13\[14\],39.1
_04770_,39.08
_05805_,39.08
sha256cu.msg_scheduler.mreg_13\[11\],39.04
sha256cu.msg_scheduler.mreg_5\[22\],39.02
sha256cu.m_out_digest.h_in\[2\],39
_01680_,38.98
_04012_,38.96
_01823_,38.92
_02628_,38.84
_04830_,38.78
sha256cu.m_out_digest.g_in\[22\],38.74
_02088_,38.72
_02359_,38.62
sha256cu.msg_scheduler.mreg_5\[27\],38.56
_04847_,38.54
_06100_,38.5
sha256cu.m_out_digest.h_in\[30\],38.5
_05303_,38.46
_04864_,38.44
_05753_,38.44
_04795_,38.42
sha256cu.data_in_padd\[27\],38.4
_02586_,38.36
_00045_,38.32
_04181_,38.32
_04507_,38.3
_03041_,38.28
_05638_,38.22
sha256cu.msg_scheduler.mreg_5\[29\],38.17
_03557_,38.12
_03831_,38.02
_02874_,38
_05871_,37.98
_03088_,37.94
sha256cu.msg_scheduler.counter_iteration\[6\],37.94
_03441_,37.88
sha256cu.m_out_digest.h_in\[17\],37.88
_04564_,37.86
_02434_,37.84
_04762_,37.82
_04925_,37.78
_04069_,37.7
sha256cu.msg_scheduler.mreg_8\[0\],37.62
sha256cu.msg_scheduler.mreg_8\[15\],37.62
_04560_,37.6
sha256cu.msg_scheduler.mreg_13\[5\],37.58
sha256cu.msg_scheduler.mreg_5\[30\],37.52
_03921_,37.49
_04644_,37.48
_02560_,37.37
sha256cu.msg_scheduler.mreg_7\[16\],37.34
_04127_,37.32
sha256cu.msg_scheduler.mreg_5\[26\],37.3
_05649_,37.26
_04132_,37.24
sha256cu.msg_scheduler.mreg_5\[28\],37.24
_05477_,37.18
_04559_,37.16
sha256cu.msg_scheduler.mreg_0\[21\],37.16
_03688_,37.14
_05920_,37.12
sha256cu.msg_scheduler.mreg_14\[1\],37.04
_05625_,36.86
_00008_,36.825
_02308_,36.76
_02746_,36.74
sha256cu.msg_scheduler.mreg_13\[16\],36.7
sha256cu.msg_scheduler.mreg_3\[14\],36.7
sha256cu.msg_scheduler.counter_iteration\[2\],36.675
_05559_,36.64
net122,36.64
_01905_,36.63
sha256cu.msg_scheduler.mreg_6\[14\],36.54
_05495_,36.52
_04241_,36.46
_02545_,36.4
_04628_,36.4
_02528_,36.35
sha256cu.msg_scheduler.mreg_2\[27\],36.24
_01956_,36.22
_04015_,36.22
_05764_,36.22
_05858_,36.22
_05725_,36.2
_02410_,36.18
_05986_,36.18
sha256cu.msg_scheduler.mreg_4\[4\],36.18
sha256cu.msg_scheduler.mreg_2\[15\],36.1
_03284_,36.06
clknet_leaf_50_clk,36.04
_03777_,36.02
_04855_,35.98
_06061_,35.94
sha256cu.data_in_padd\[30\],35.85
_03480_,35.76
_05076_,35.74
_01850_,35.72
_02469_,35.64
_01477_,35.56
_02614_,35.56
_02848_,35.56
_05583_,35.52
_02392_,35.42
_04782_,35.4
_02954_,35.38
_05513_,35.32
_05018_,35.28
_01496_,35.26
_05910_,35.24
_05026_,35.22
_05027_,35.22
_05651_,35.19
_05257_,35.18
_01565_,35.14
_01685_,35.14
_05883_,35.14
_04159_,35.12
_05704_,35.12
_04339_,35.04
_05762_,35.04
sha256cu.msg_scheduler.mreg_14\[0\],35
_03068_,34.94
_03427_,34.86
_00039_,34.84
_04971_,34.82
sha256cu.msg_scheduler.mreg_5\[17\],34.79
_01532_,34.76
_05006_,34.68
sha256cu.msg_scheduler.mreg_5\[18\],34.68
sha256cu.msg_scheduler.mreg_9\[4\],34.6
sha256cu.msg_scheduler.mreg_5\[15\],34.52
sha256cu.msg_scheduler.mreg_0\[7\],34.38
_02698_,34.3
_02735_,34.26
sha256cu.msg_scheduler.mreg_2\[16\],34.22
_03332_,34.2
_02115_,34.18
clknet_leaf_87_clk,34.18
_01609_,34.12
_05300_,34.12
_04350_,34.1
sha256cu.msg_scheduler.mreg_10\[19\],34.1
_05329_,34.08
_00011_,34.065
_05536_,34.06
_02501_,33.98
_04827_,33.92
_05807_,33.92
_01684_,33.88
sha256cu.msg_scheduler.mreg_5\[31\],33.88
sha256cu.m_out_digest.h_in\[31\],33.84
sha256cu.K\[29\],33.8
_01481_,33.74
_05851_,33.72
sha256cu.data_in_padd\[20\],33.54
_05055_,33.46
_04246_,33.42
_03801_,33.38
sha256cu.msg_scheduler.mreg_8\[4\],33.38
_05237_,33.36
_03716_,33.26
_02957_,33.22
_04375_,33.22
_04106_,33.18
_05316_,33.1
_01736_,33.08
_04955_,33.08
_01943_,33.06
_05305_,33.06
_01576_,33.04
_04861_,32.92
_05074_,32.92
sha256cu.msg_scheduler.mreg_4\[16\],32.83
_05501_,32.72
_05740_,32.68
sha256cu.m_out_digest.h_in\[14\],32.64
_04630_,32.58
sha256cu.msg_scheduler.mreg_8\[16\],32.56
_03221_,32.54
_05031_,32.54
_05856_,32.54
_05377_,32.52
_03700_,32.48
_04373_,32.4
_04332_,32.38
_05177_,32.38
_05653_,32.38
sha256cu.msg_scheduler.temp_case,32.38
_04002_,32.34
_04349_,32.34
_05729_,32.34
_04420_,32.335
_02239_,32.32
net134,32.3
_01861_,32.26
_05519_,32.22
_02548_,32.18
_01660_,32.16
_04192_,32.16
_03027_,32.12
_04244_,32.12
_01785_,32.08
_04377_,32.06
sha256cu.m_out_digest.h_in\[12\],32.02
_00058_,32
_02132_,31.98
_02650_,31.98
_02744_,31.98
_02481_,31.96
_05498_,31.96
_02168_,31.92
_04879_,31.86
sha256cu.m_out_digest.h_in\[6\],31.8
_01710_,31.78
_03326_,31.76
_02208_,31.74
_02837_,31.7
_04129_,31.7
_02771_,31.68
_05694_,31.66
sha256cu.msg_scheduler.mreg_3\[7\],31.66
_02424_,31.58
sha256cu.data_in_padd\[3\],31.5
_02009_,31.48
_05243_,31.48
_03315_,31.46
_05422_,31.46
sha256cu.msg_scheduler.mreg_13\[30\],31.4
_02705_,31.38
sha256cu.msg_scheduler.mreg_13\[29\],31.34
sha256cu.msg_scheduler.mreg_8\[28\],31.34
_00021_,31.285
_04902_,31.28
_03002_,31.26
_03597_,31.24
_04632_,31.24
_05259_,31.12
_04773_,31.1
_06008_,31.08
sha256cu.data_in_padd\[29\],31.08
sha256cu.data_in_padd\[21\],31.02
_03170_,31
_04369_,31
_05351_,30.92
sha256cu.m_pad_pars.add_out1\[4\],30.92
sha256cu.msg_scheduler.mreg_7\[3\],30.88
sha256cu.msg_scheduler.mreg_6\[13\],30.82
sha256cu.msg_scheduler.mreg_13\[24\],30.7
sha256cu.msg_scheduler.mreg_7\[21\],30.7
_05832_,30.68
_00453_,30.67
sha256cu.msg_scheduler.mreg_11\[19\],30.66
sha256cu.msg_scheduler.mreg_13\[22\],30.62
_02601_,30.58
_05597_,30.58
_02530_,30.56
_02580_,30.55
_02695_,30.5
_03954_,30.5
_02858_,30.46
_03399_,30.46
sha256cu.msg_scheduler.mreg_4\[8\],30.44
_01557_,30.32
_02949_,30.32
sha256cu.msg_scheduler.mreg_13\[28\],30.29
_03409_,30.24
sha256cu.data_in_padd\[4\],30.22
_04512_,30.2
_04945_,30.2
_05218_,30.2
sha256cu.msg_scheduler.mreg_4\[6\],30.18
sha256cu.msg_scheduler.mreg_0\[27\],30.14
_04374_,30.11
_02942_,30.1
sha256cu.m_pad_pars.block_512\[59\]\[7\],30.08
_03447_,30.04
_05016_,30.04
_02180_,30.02
_02457_,29.96
sha256cu.msg_scheduler.mreg_10\[18\],29.96
_04075_,29.94
_05036_,29.94
_04146_,29.92
sha256cu.msg_scheduler.mreg_4\[13\],29.92
_00036_,29.88
_02190_,29.88
sha256cu.msg_scheduler.mreg_8\[18\],29.88
sha256cu.msg_scheduler.mreg_8\[19\],29.88
_06108_,29.86
net220,29.84
_04262_,29.82
_05936_,29.82
sha256cu.m_out_digest.b_in\[0\],29.8
_04668_,29.78
_05849_,29.78
_05923_,29.78
sha256cu.msg_scheduler.mreg_2\[19\],29.78
sha256cu.msg_scheduler.mreg_3\[13\],29.74
_02750_,29.68
_03051_,29.64
_05775_,29.64
sha256cu.msg_scheduler.mreg_12\[24\],29.64
_03372_,29.58
_05818_,29.54
_04983_,29.53
_02739_,29.52
_02590_,29.5
sha256cu.msg_scheduler.mreg_6\[15\],29.48
_02150_,29.46
_03840_,29.44
_03613_,29.4
_04634_,29.4
_05170_,29.4
_05602_,29.4
_05747_,29.335
sha256cu.msg_scheduler.mreg_3\[0\],29.3
_05064_,29.26
_02394_,29.24
_04242_,29.24
sha256cu.msg_scheduler.mreg_11\[17\],29.24
_02056_,29.11
_05626_,29.08
_00056_,29.06
sha256cu.msg_scheduler.mreg_7\[20\],29.04
_01947_,29.02
_02206_,28.99
_04950_,28.96
_01801_,28.95
_05075_,28.9
_04927_,28.88
_05938_,28.82
_01613_,28.76
sha256cu.msg_scheduler.mreg_8\[7\],28.72
_02334_,28.7
_05323_,28.7
_05091_,28.66
_05724_,28.64
sha256cu.msg_scheduler.counter_iteration\[1\],28.64
_02784_,28.6
_01702_,28.58
_04102_,28.58
sha256cu.msg_scheduler.mreg_2\[18\],28.58
_01752_,28.54
sha256cu.msg_scheduler.mreg_12\[2\],28.54
sha256cu.msg_scheduler.mreg_6\[19\],28.54
_05841_,28.52
_01668_,28.48
_02103_,28.48
_02594_,28.48
_01906_,28.46
sha256cu.data_in_padd\[24\],28.46
_05632_,28.44
sha256cu.m_out_digest.d_in\[29\],28.42
_05526_,28.4
_05939_,28.36
_04911_,28.335
_05791_,28.3
_03656_,28.28
_06716_,28.28
sha256cu.msg_scheduler.mreg_4\[28\],28.28
_06075_,28.19
_04865_,28.18
_04070_,28.16
_05097_,28.12
_04329_,28.1
_05115_,28.1
_01720_,28.06
_02172_,28.06
_04105_,28.04
sha256cu.counter_iteration\[3\],28.04
_02279_,28.02
_06072_,28.005
_03225_,28
sha256cu.msg_scheduler.mreg_8\[3\],28
_02634_,27.98
clknet_leaf_30_clk,27.98
sha256cu.msg_scheduler.mreg_0\[6\],27.97
sha256cu.data_in_padd\[13\],27.94
_01916_,27.9
_05707_,27.9
sha256cu.msg_scheduler.mreg_0\[22\],27.9
sha256cu.msg_scheduler.mreg_0\[10\],27.89
_05099_,27.86
_02428_,27.84
sha256cu.msg_scheduler.mreg_6\[21\],27.84
_03683_,27.82
sha256cu.m_pad_pars.m_size\[5\],27.8
_02032_,27.79
sha256cu.m_out_digest.f_in\[23\],27.78
_03426_,27.74
sha256cu.msg_scheduler.mreg_2\[5\],27.74
_04381_,27.7
_05034_,27.7
_05155_,27.68
_05453_,27.68
_04798_,27.67
_02351_,27.66
_05226_,27.66
_06142_,27.65
_04143_,27.64
_01819_,27.62
_03064_,27.62
_04899_,27.6
_01887_,27.59
_02251_,27.58
_04152_,27.56
_04867_,27.56
_05266_,27.56
_03691_,27.52
sha256cu.msg_scheduler.mreg_4\[12\],27.5
_02818_,27.48
_04305_,27.48
sha256cu.msg_scheduler.mreg_4\[9\],27.47
_02925_,27.455
_01836_,27.44
_04511_,27.44
_00009_,27.42
sha256cu.m_out_digest.h_in\[24\],27.36
_05308_,27.355
_03034_,27.32
sha256cu.m_out_digest.b_in\[10\],27.32
sha256cu.m_out_digest.f_in\[28\],27.32
_03408_,27.28
_01728_,27.26
sha256cu.m_out_digest.h_in\[10\],27.2
sha256cu.msg_scheduler.mreg_0\[25\],27.2
sha256cu.m_out_digest.f_in\[21\],27.17
_02116_,27.16
_03328_,27.1
_04874_,27.1
_02318_,27.08
_02042_,27.06
sha256cu.msg_scheduler.mreg_3\[11\],27.06
_02896_,27.02
sha256cu.msg_scheduler.mreg_12\[21\],27.02
sha256cu.msg_scheduler.mreg_0\[31\],27
_00004_,26.98
_03443_,26.915
_05003_,26.9
_05464_,26.9
_02774_,26.86
_03558_,26.805
_03806_,26.8
