net,length_um
sha256cu.m_out_digest.a_in\[10\],225.26
_01983_,224.13
_04705_,223.72
net99,223.64
sha256cu.msg_scheduler.mreg_14\[27\],223.28
sha256cu.K\[2\],222.55
net1,222.5
net240,222.18
_01524_,222.06
_01911_,222.02
_04167_,219.29
sha256cu.msg_scheduler.mreg_14\[22\],218.7
_02306_,218.3
_04580_,217.735
net84,217.02
_04907_,216.385
clknet_4_15_0_clk,216.36
clknet_4_6_0_clk,216.01
net231,215.88
net76,214.62
sha256cu.msg_scheduler.mreg_14\[29\],214.41
_04040_,214.21
_01551_,213.42
net73,213.42
net108,212.8
_04447_,212.04
_05433_,211.845
net228,211.84
sha256cu.msg_scheduler.mreg_14\[26\],210.66
_01570_,210.65
_02895_,210.34
_04028_,210.24
net196,210.12
net86,209.96
sha256cu.iter_processing.w\[16\],209.88
net234,209.88
sha256cu.m_out_digest.a_in\[21\],209.84
_01537_,208.77
_02329_,208.55
_02347_,208.38
_04166_,208.38
_04746_,207.635
net128,207.34
sha256cu.K\[30\],207.32
sha256cu.msg_scheduler.mreg_14\[31\],207.24
net96,207.22
_01976_,207.02
sha256cu.msg_scheduler.mreg_9\[20\],206.92
clknet_4_0_0_clk,206.44
net125,206.34
_04709_,206.15
sha256cu.iter_processing.w\[17\],205.18
sha256cu.iter_processing.w\[18\],204.72
_04702_,204.56
_01545_,204.16
_01478_,203.94
net230,203.4
sha256cu.K\[17\],203.38
_01495_,203.32
net75,202.62
net209,202.32
net185,202.28
sha256cu.m_out_digest.e_in\[23\],202.06
_02128_,201.94
_04787_,201.61
_06693_,200.36
sha256cu.msg_scheduler.mreg_9\[15\],199.82
_01687_,199.495
_06205_,198.94
sha256cu.iter_processing.w\[24\],198.88
sha256cu.msg_scheduler.mreg_1\[3\],198.6
sha256cu.m_out_digest.a_in\[1\],198.55
_01490_,198.52
_05445_,198.365
net28,197.74
net203,197.42
clknet_4_12_0_clk,197.08
_04698_,196.86
_01483_,196.82
_01497_,196.82
_01506_,196.02
net160,195.44
sha256cu.msg_scheduler.mreg_9\[23\],194.98
net195,194.62
net180,194.57
_01921_,194.535
_01493_,194.2
clknet_4_10_0_clk,194.14
sha256cu.K\[1\],194.1
_01648_,193.84
_01919_,193.555
_01980_,193.35
_01541_,193.18
sha256cu.iter_processing.padding_done,193.04
net135,192.91
_02232_,192.89
net23,192.7
net121,192.66
_06351_,192.615
_01555_,191.98
_01961_,191.92
sha256cu.m_out_digest.a_in\[9\],191.74
sha256cu.msg_scheduler.mreg_14\[21\],191.18
net259,190.96
net179,190.78
_01963_,190.76
net116,190.58
sha256cu.msg_scheduler.mreg_14\[23\],190.44
net191,190.02
_01608_,189.865
_02198_,189.28
net56,188.8
_06599_,188.78
_01487_,188.46
sha256cu.m_out_digest.e_in\[28\],187.98
sha256cu.m_out_digest.a_in\[7\],187.66
_01602_,187.46
_04704_,187.45
sha256cu.m_out_digest.h_in\[0\],187.38
_05008_,187.345
sha256cu.msg_scheduler.mreg_9\[14\],187.05
_01521_,186.84
net163,186.76
_01629_,186.21
net13,185.92
_02369_,185.83
_04786_,185.75
_01618_,185.49
_04086_,185.48
sha256cu.msg_scheduler.mreg_1\[13\],184.92
sha256cu.m_out_digest.a_in\[31\],184.78
_04281_,184.18
net112,183.76
sha256cu.iter_processing.w\[4\],183.1
sha256cu.msg_scheduler.mreg_14\[25\],182.605
_05667_,182.56
sha256cu.msg_scheduler.mreg_14\[24\],182.26
_00456_,182.235
_04807_,182.1
sha256cu.K\[19\],181.48
net178,180.9
_05154_,180.88
net9,180.84
_02108_,180.79
sha256cu.K\[18\],180.56
_02964_,180.31
_02084_,179.65
net2,179.36
net256,179.04
_04774_,178.82
_04800_,178.215
net183,178.14
sha256cu.K\[31\],177.94
net225,177.68
net186,177.66
sha256cu.msg_scheduler.mreg_1\[11\],177.58
net146,177.39
_04829_,177.375
_06525_,176.86
clknet_leaf_1_clk,176.71
_06462_,176.68
_01484_,176.6
net95,176.24
_06498_,175.78
sha256cu.msg_scheduler.mreg_9\[24\],175.65
_04053_,175.58
_01617_,175.39
_04801_,175.39
sha256cu.m_out_digest.a_in\[23\],175.36
sha256cu.msg_scheduler.mreg_1\[19\],175.24
_05375_,174.98
_06660_,174.5
_04960_,173.88
_02304_,173.58
_04826_,173.32
sha256cu.iter_processing.w\[0\],173.09
_01644_,172.56
_00457_,172.235
_04765_,172.01
_01476_,171.96
_02891_,171.9
_05324_,170.96
_01514_,170.93
_06353_,170.9
_01491_,170.66
net216,170.64
_01578_,170.53
sha256cu.msg_scheduler.mreg_9\[26\],170.5
_04996_,170.42
sha256cu.m_pad_pars.add_512_block\[2\],170.38
_05334_,170.22
sha256cu.m_out_digest.a_in\[2\],170.095
_04818_,170.065
sha256cu.iter_processing.w\[3\],168.28
_01580_,167.84
sha256cu.iter_processing.w\[25\],167.74
_05001_,167.38
_06571_,165.93
_01529_,165.64
_01939_,165.4
_06608_,165.38
net19,165.34
_01631_,165.18
sha256cu.msg_scheduler.mreg_1\[17\],165.13
sha256cu.data_in_padd\[1\],164.96
_04993_,164.52
_01612_,164.16
sha256cu.m_out_digest.e_in\[29\],164.1
_05141_,164.075
_02438_,164.02
net141,163.94
net143,163.83
net175,163.78
_05355_,163.5
_04881_,163.18
_06325_,162.89
sha256cu.m_out_digest.e_in\[25\],162.76
sha256cu.m_pad_pars.add_512_block\[1\],162.76
sha256cu.iter_processing.w\[26\],162.66
_05345_,162.09
sha256cu.msg_scheduler.mreg_9\[27\],161.94
_05294_,161.79
_06178_,161.67
_04263_,161.45
clknet_leaf_9_clk,161.435
_04314_,161.27
sha256cu.m_out_digest.a_in\[3\],161.22
sha256cu.msg_scheduler.mreg_9\[25\],160.81
sha256cu.msg_scheduler.mreg_1\[2\],160.76
_04174_,160.68
sha256cu.msg_scheduler.mreg_1\[20\],160
_06232_,159.92
net145,159.56
net117,159.4
_05385_,158.87
sha256cu.m_out_digest.a_in\[5\],158.5
clknet_leaf_98_clk,158.07
_02344_,158.06
_04822_,157.48
sha256cu.m_out_digest.e_in\[24\],157.46
sha256cu.m_pad_pars.add_512_block\[4\],157.43
_04831_,157.29
_01653_,157.12
_01987_,157.12
_01637_,156.665
net248,156.6
_04828_,156.595
net15,156.42
sha256cu.m_out_digest.e_in\[27\],156.32
net57,156.28
_01652_,156.2
_06635_,155.96
_06307_,155.84
_05666_,155.395
_05465_,155.32
_01682_,155.28
_06362_,154.76
_05313_,154.645
_06534_,154.6
sha256cu.msg_scheduler.mreg_1\[4\],154.54
_05299_,154.47
_06507_,154.38
_04757_,154.3
sha256cu.m_out_digest.e_in\[18\],154.22
_06453_,154.08
_06169_,153.48
_04908_,153.27
sha256cu.m_pad_pars.add_512_block\[3\],152.88
_06316_,152.83
_01703_,152.315
_04963_,152.285
clknet_leaf_110_clk,152.24
sha256cu.m_out_digest.a_in\[0\],152.18
_01591_,151.97
_01663_,151.84
_06252_,151.33
clknet_leaf_2_clk,151.22
_04804_,151.09
_00452_,151.07
_05335_,151
sha256cu.data_in_padd\[2\],150.82
_01639_,150.8
net42,150.74
_04529_,150.72
_02027_,150.56
sha256cu.msg_scheduler.mreg_9\[28\],150.355
_01480_,150.34
_05365_,150.24
clknet_leaf_65_clk,150.16
_01475_,149.96
clknet_leaf_36_clk,149.86
sha256cu.m_out_digest.e_in\[19\],149.82
_05320_,149.635
_06544_,149.47
sha256cu.msg_scheduler.mreg_14\[9\],149
_04414_,148.82
_01584_,148.52
_04892_,148.4
_05298_,148.35
sha256cu.m_out_digest.a_in\[11\],148.34
_02275_,147.66
sha256cu.iter_processing.w\[1\],147.4
sha256cu.msg_scheduler.mreg_1\[8\],147.32
clknet_leaf_7_clk,147.255
_05640_,147.02
_06407_,146.48
_04839_,146.32
_05140_,146.2
_01706_,146.02
_04547_,145.9
clknet_leaf_44_clk,145.76
_04742_,145.58
sha256cu.m_out_digest.e_in\[31\],145.32
sha256cu.m_out_digest.a_in\[4\],144.78
_04080_,144.44
sha256cu.msg_scheduler.mreg_1\[14\],144.36
_01585_,144.17
sha256cu.msg_scheduler.mreg_1\[5\],143.88
net151,143.58
_01640_,143.28
net26,143.275
_02923_,143.16
_04981_,142.94
_02626_,142.88
_02026_,142.65
_04741_,142.62
sha256cu.msg_scheduler.mreg_1\[15\],141.785
_01526_,141.52
sha256cu.m_out_digest.a_in\[6\],141.48
_02847_,141.43
_04903_,141.4
_02879_,140.94
sha256cu.msg_scheduler.mreg_1\[9\],140.7
_04811_,140.51
_04781_,140.5
sha256cu.m_out_digest.e_in\[6\],140.46
_04791_,140.4
net207,140.17
_04699_,139.69
sha256cu.msg_scheduler.mreg_9\[30\],139.64
net221,139.48
_04989_,139.3
sha256cu.msg_scheduler.mreg_1\[10\],138.82
_01558_,138.64
clknet_leaf_105_clk,138.22
_00455_,138.185
_02233_,138.12
_01923_,138.02
_04972_,137.98
_04198_,137.97
_04703_,137.34
_02747_,137.32
_01647_,137.29
sha256cu.msg_scheduler.mreg_9\[29\],137.04
_06371_,136.985
_06214_,136.98
_04957_,136.695
_01549_,136.48
_01590_,135.78
clknet_leaf_28_clk,135.66
sha256cu.msg_scheduler.mreg_9\[12\],135.52
sha256cu.m_out_digest.a_in\[14\],135.42
_06425_,134.94
_04701_,134.9
clknet_leaf_68_clk,134.87
_06719_,134.8
_01509_,134.795
sha256cu.K\[20\],134.7
_04211_,134.67
net204,134.66
_04969_,134.45
sha256cu.m_out_digest.e_in\[30\],134.38
_01485_,134.06
clknet_leaf_19_clk,133.7
sha256cu.msg_scheduler.mreg_14\[18\],133.66
_01593_,133.38
clknet_leaf_83_clk,133.105
_04984_,133
sha256cu.msg_scheduler.mreg_1\[18\],132.86
_05279_,132.53
_01679_,132.42
sha256cu.m_pad_pars.add_512_block\[5\],132.15
_06389_,131.84
_00454_,131.76
clknet_leaf_96_clk,131.76
_04870_,131.5
sha256cu.msg_scheduler.mreg_14\[20\],131.42
clknet_leaf_117_clk,131.4
_06730_,131.06
_06280_,130.96
sha256cu.iter_processing.rst,130.26
_02382_,130.2
_00062_,129.98
sha256cu.msg_scheduler.mreg_1\[28\],129.86
sha256cu.msg_scheduler.mreg_1\[21\],129.46
_01621_,129.25
_06489_,129.22
_05161_,129.185
sha256cu.msg_scheduler.mreg_14\[10\],129.04
_02777_,128.96
_01622_,128.88
sha256cu.msg_scheduler.mreg_1\[16\],128.64
_06380_,128.63
sha256cu.msg_scheduler.mreg_9\[13\],128.58
clknet_leaf_91_clk,128.56
sha256cu.msg_scheduler.mreg_9\[31\],128.49
sha256cu.m_out_digest.e_in\[12\],128.36
_01596_,128.08
_06434_,128.02
sha256cu.msg_scheduler.mreg_14\[8\],127.83
clknet_leaf_67_clk,127.82
_04964_,127.81
_04794_,127.76
sha256cu.msg_scheduler.mreg_14\[6\],127.72
clknet_leaf_34_clk,127.4
sha256cu.m_out_digest.e_in\[20\],127.37
clknet_leaf_125_clk,126.85
clknet_leaf_20_clk,126.82
_06196_,126.7
_01937_,126.47
sha256cu.iter_processing.w\[2\],126.38
sha256cu.K\[21\],126.16
net172,126.08
_04790_,126.005
sha256cu.m_out_digest.e_in\[7\],125.675
_06241_,125.04
_06471_,124.75
_06271_,124.7
_01646_,124.59
_05135_,124.58
sha256cu.m_out_digest.e_in\[11\],124.54
_04029_,124.48
sha256cu.msg_scheduler.mreg_14\[15\],124.285
_02302_,124.28
_05004_,124.1
sha256cu.iter_processing.w\[27\],124.04
net5,123.88
_04662_,123.1
_05304_,123.04
_06714_,123
_02235_,122.88
sha256cu.msg_scheduler.mreg_1\[12\],122.66
